Column Name	Type	Description
payroll_payslip_id	int(11)	Primary key, unique identifier for each payslip.
emp_id	int(11)	Foreign key to the employee. Identifies which employee the payslip is for.
payroll_date	date	The date the payroll was processed.
period_from	date	Start date of the payroll period.
period_to	date	End date of the payroll period.
payroll_group_id	int(11)	Identifies the payroll group (e.g., montly, semi-monthly, weekly).
company_id	int(11)	ID of the company
rate	varbinary(150)	Employee basic pay based on compensation details (likely encrypted).
pay_date	date	The actual date when salary is released.
pay_coverage_from	date	Coverage start date used for computations.
pay_coverage_to	date	Coverage end date used for computations.
basic_pay	varbinary(150)	Basic salary without deductions or additions. (e.g Monthly Basic Pay / 2 if semi montly pay schedule)
days_absent	varbinary(150)	Number of days the employee was absent.
absences	varbinary(150)	Total amount deducted due to absences.
paid_leave_amount	varbinary(150)	Amount paid for leaves.
regular_days	varbinary(150)	Number of days worked under regular schedule.
regular_pay	varbinary(150)	Basic salary
night_diff	varbinary(150)	Additional pay for night differential hours.
overtime_pay	varbinary(150)	Pay earned from overtime hours.
sunday_holiday	varbinary(150)	Additional pay for working on Sundays or holidays.
adjustment_1	varbinary(150)	Retro Active Amount
adjustment_2	varbinary(150)	Total Adjustment (e.g workday + tardiness + undertime + nsd)
gross_pay	varbinary(150)	Total earnings before deductions.
pp_sss	varbinary(150)	SSS contribution deducted from this payslip.
pp_philhealth	varbinary(150)	PhilHealth contribution deducted.
pp_pagibig	varbinary(150)	Pag-IBIG contribution deducted.
pp_withholding_tax	varbinary(150)	Withholding tax deducted.
allowances	varbinary(150)	Taxable allowances given.
nt_allowances	varbinary(150)	Non-taxable allowances.
advance_amount	varbinary(150)	Amount deducted for salary advances.
de_minimis	varbinary(150)	Small-value non-taxable benefits (de minimis).
non_taxable_income	varbinary(150)	Other non-taxable income components.
pp_accrual	varbinary(150)	Accrued amounts (e.g., leave not yet paid).
pp_other_deductions	varbinary(150)	Total Other Deductions deducted.
tardiness_pay	varbinary(150)	Amount deducted due to lateness.
undertime_pay	varbinary(150)	Amount deducted for leaving early.
net_amount	varbinary(150)	Final take-home pay after all deductions.
ot_no_hours	varbinary(150)	Number of overtime hours worked.
bonuses	varbinary(150)	Bonus amount included in the payslip.
other_compensation	varbinary(150)	Additional earnings not categorized above.
